Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula,Variant
CM1,MCC,0.2773109243697479,0.17702237533693568,0.3484848484848485,0.2711864406779661,0.2014148736276902,1,x4,1. Standard
CM1,MCC,0.2894736842105263,0.20137949376614517,0.3939393939393939,0.2857142857142857,0.227429413073671,2,log(x4),2. Seeding
CM1,MCC,0.2773109243697479,0.17702237533693568,0.3484848484848485,0.2711864406779661,0.2014148736276902,1,x4,3. RL
CM1,MCC,0.3515151515151515,0.27170544380700046,0.6363636363636364,0.3333333333333333,0.24479280153992708,3,(x4 add -8.748),4. RL + Seeding
JM1,MCC,0.42410855159356264,0.24199935840243278,0.7046632124352331,0.4213197969543147,0.23898532626974633,3,(-5.895 add x0),1. Standard
JM1,MCC,0.3433559650824442,0.23214736964515886,0.7759067357512953,0.33204633204633205,0.21608357526354285,10,(((x17 div 3.803) sub (x15 div x18)) div sqrt(x4)),2. Seeding
JM1,MCC,0.422992299229923,0.22895562002171355,0.6658031088082902,0.43790849673202614,0.2511760497935019,3,(-4.603 add x0),3. RL
JM1,MCC,0.422316384180791,0.2225802723496136,0.6023316062176166,0.4218455743879473,0.222335068632154,3,(-3.354 add x0),4. RL + Seeding
KC1,MCC,0.4664310954063604,0.24958380647610845,0.6523605150214592,0.46357615894039733,0.23630942202677416,3,(x1 add -5.906),1. Standard
KC1,MCC,0.4500978473581213,0.24483071832158576,0.6995708154506438,0.5,0.3002876730548921,7,log(((x0 mul x11) div sin(6.653))),2. Seeding
KC1,MCC,0.4772727272727273,0.2548531912060306,0.630901287553648,0.47560975609756095,0.24620565525722166,8,log(((x9 div x9) sub (x9 div 4.772))),3. RL
KC1,MCC,0.4837662337662338,0.26492202741553994,0.6223175965665236,0.47619047619047616,0.2452577955240661,8,log(((-8.956 mul x11) div sqrt(sin(x19)))),4. RL + Seeding
KC3,MCC,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,x3,1. Standard
KC3,MCC,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,x3,2. Seeding
KC3,MCC,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,x3,3. RL
KC3,MCC,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,x3,4. RL + Seeding
MC1,MCC,0.1511111111111111,0.19126953421603696,0.8593350383631714,0.09836065573770492,0.11366864058972502,11,(sqrt(((x32 sub sin(x23)) sub exp(x3))) sub sqrt(x22)),1. Standard
MC1,MCC,0.15384615384615385,0.1673026516964849,0.9258312020460358,0.12121212121212122,0.11879646345341298,3,(-7.468 add x3),2. Seeding
MC1,MCC,0.08652246256239601,0.15137372815084535,0.659846547314578,0.06993006993006994,0.10388354381038016,1,x3,3. RL
MC1,MCC,0.08652246256239601,0.15137372815084535,0.659846547314578,0.06993006993006994,0.10388354381038016,1,x3,4. RL + Seeding
MC2,MCC,0.6111111111111112,0.3895291719182461,0.52,0.4,0.006715191366878169,1,x14,1. Standard
MC2,MCC,0.6111111111111112,0.3895291719182461,0.52,0.4,0.006715191366878169,1,x14,2. Seeding
MC2,MCC,0.6111111111111112,0.3895291719182461,0.52,0.4,0.006715191366878169,1,x14,3. RL
MC2,MCC,0.6376811594202898,0.44405503482066255,0.6,0.375,0.0890870806374748,8,(cos(x9) sub (x14 sub (x14 mul x4))),4. RL + Seeding
MW1,MCC,0.44,0.3734080224074693,0.78,0.35294117647058826,0.2809757434745082,10,(log((x27 add x10)) add ((3.340 mul -4.031) add x4)),1. Standard
