Dataset,Target,Strategy,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Weighted_Cplx,Formula,Variant
CM1,MCC,SIMPLE,0.36942675159235666,0.29591754179155993,0.6818181818181818,0.36363636363636365,0.28420724737721337,3,9,log(log(x4)),1. Standard
CM1,MCC,SIMPLE,0.4675324675324675,0.38044655095024005,0.8939393939393939,0.5333333333333333,0.47514845216931717,7,13,(log(x4) mul (sqrt(x11) min x13)),2. Seeding
CM1,MCC,SIMPLE,0.36942675159235666,0.29591754179155993,0.6818181818181818,0.36363636363636365,0.28420724737721337,3,5,log(log(x4)),3. RL
CM1,MCC,SIMPLE,0.36942675159235666,0.29591754179155993,0.6818181818181818,0.36363636363636365,0.28420724737721337,3,5,log(log(x4)),4. RL + Seeding
JM1,MCC,SIMPLE,0.4317207593386405,0.24957272938988306,0.6968911917098446,0.4306569343065693,0.24776191906466374,7,9,((7.941 div -0.193) add (x20 max -8.566)),1. Standard
JM1,MCC,SIMPLE,0.421015514809591,0.2520120908662874,0.7318652849740933,0.4152542372881356,0.24482596245424684,3,4,(x11 mul x0),2. Seeding
JM1,MCC,SIMPLE,0.421015514809591,0.2520120908662874,0.7318652849740933,0.4152542372881356,0.24482596245424684,3,4,(x0 multiply x11),3. RL
JM1,MCC,SIMPLE,0.421015514809591,0.2520120908662874,0.7318652849740933,0.4152542372881356,0.24482596245424684,3,4,(x0 multiply x11),4. RL + Seeding
KC1,MCC,SIMPLE,0.491869918699187,0.30992412859128726,0.7296137339055794,0.45217391304347826,0.2730125800946701,7,9,((x16 div x8) add (x11 sub x2)),1. Standard
KC1,MCC,SIMPLE,0.3547400611620795,0.28788628658639825,0.7725321888412017,0.29333333333333333,0.2711791908476425,6,11,log((x11 div (0.216 sub x2))),2. Seeding
KC1,MCC,SIMPLE,0.4678111587982833,0.2896867732411925,0.7467811158798283,0.45871559633027525,0.296637923272512,4,6,sqrt((x4 sub x9)),3. RL
KC1,MCC,SIMPLE,0.41189931350114417,0.233524038013632,0.721030042918455,0.4444444444444444,0.2582330084346087,1,1,x11,4. RL + Seeding
KC3,MCC,SIMPLE,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3,1. Standard
KC3,MCC,SIMPLE,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3,2. Seeding
KC3,MCC,SIMPLE,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3,3. RL
KC3,MCC,SIMPLE,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3,4. RL + Seeding
MC1,MCC,SIMPLE,0.11830985915492957,0.1744167657205004,0.7749360613810742,0.06382978723404255,0.06689105623474753,1,1,x3,1. Standard
MC1,MCC,SIMPLE,0.18181818181818182,0.2745543494066276,0.9846547314578005,0.25,0.3750457847507963,7,8,((1.835 mul x15) min (x3 add -6.482)),2. Seeding
MC1,MCC,SIMPLE,0.11830985915492957,0.1744167657205004,0.7749360613810742,0.06382978723404255,0.06689105623474753,1,1,x3,3. RL
MC1,MCC,SIMPLE,0.11830985915492957,0.1744167657205004,0.7749360613810742,0.06382978723404255,0.06689105623474753,1,1,x3,4. RL + Seeding
MC2,MCC,SIMPLE,0.5862068965517241,0.44371058845007666,0.6,0.375,0.0890870806374748,2,4,sqrt(x13),1. Standard
MC2,MCC,SIMPLE,0.696969696969697,0.5485509139337522,0.56,0.35294117647058826,0.021437323142813606,12,24,(((sqrt(x0) mul sqrt(x14)) add log(sqrt(x13))) max sqrt(x6)),2. Seeding
