Dataset,Acc,F1,MCC,Model,Cplx,Formula
CM1,0.8787878787878788,0.5,0.4310344827586206,DNN (Tuned),,
CM1,0.7424242424242424,0.4516129032258064,0.4103813916102505,GP (Ours),3.0,(x14 add x13)
CM1,0.8636363636363636,0.4,0.3243801933078992,Naive Bayes,,
CM1,0.8787878787878788,0.5,0.4310344827586206,RF (Tuned),,
JM1,0.6230569948186528,0.4457142857142857,0.2624332520079142,DNN (Tuned),,
JM1,0.7150259067357513,0.4179894179894179,0.23933956494632,GP (Ours),1.0,x15
JM1,0.7959844559585493,0.2482100238663484,0.2087328270847313,Naive Bayes,,
JM1,0.7791450777202072,0.4473257698541329,0.3101186854416123,RF (Tuned),,
KC1,0.6652360515021459,0.4935064935064935,0.2800578404053442,DNN (Tuned),,
KC1,0.7725321888412017,0.3614457831325301,0.2897177444796282,GP (Ours),2.0,log(x16)
KC1,0.7424892703862661,0.4,0.2492864562298274,Naive Bayes,,
KC1,0.776824034334764,0.5517241379310345,0.4033177659977713,RF (Tuned),,
KC3,0.8461538461538461,0.5714285714285714,0.4776785714285714,DNN (Tuned),,
KC3,0.8205128205128205,0.4615384615384615,0.3561268014363686,Naive Bayes,,
KC3,0.8205128205128205,0.4615384615384615,0.3561268014363686,RF (Tuned),,
MC1,0.9028132992327366,0.1363636363636363,0.1540384253771343,DNN (Tuned),,
MC1,0.9539641943734016,0.0,-0.0229714258048727,Naive Bayes,,
MC1,0.9769820971867008,0.0,-0.0096810754535118,RF (Tuned),,
MC2,0.64,0.5714285714285714,0.2802242691589025,DNN (Tuned),,
MC2,0.6,0.2857142857142857,0.0416666666666666,Naive Bayes,,
MC2,0.56,0.2666666666666666,-0.0312195270527231,RF (Tuned),,
MW1,0.84,0.4285714285714285,0.3644054444067475,DNN (Tuned),,
MW1,0.78,0.4210526315789473,0.3860440160957241,Naive Bayes,,
MW1,0.84,0.5,0.4667110645990919,RF (Tuned),,
PC1,0.8455882352941176,0.3225806451612903,0.257550555039693,DNN (Tuned),,
PC1,0.8676470588235294,0.1818181818181818,0.1098181818181818,Naive Bayes,,
PC1,0.875,0.2608695652173913,0.1929551024312449,RF (Tuned),,
PC2,0.896551724137931,0.2105263157894736,0.2580808140698704,DNN (Tuned),,
PC2,0.8896551724137931,0.0,-0.0456143158784627,Naive Bayes,,
PC2,0.9310344827586208,0.0,-0.0327360241164694,RF (Tuned),,
PC3,0.7819905213270142,0.4523809523809524,0.3828083844689716,DNN (Tuned),,
PC3,0.1611374407582938,0.2202643171806167,0.0157588859742196,Naive Bayes,,
PC3,0.8767772511848341,0.48,0.4106571682264665,RF (Tuned),,
PC4,0.8700787401574803,0.6373626373626373,0.5863991783828041,DNN (Tuned),,
PC4,0.8307086614173228,0.1886792452830188,0.1121583574216193,Naive Bayes,,
PC4,0.8661417322834646,0.5641025641025641,0.4896072553704658,RF (Tuned),,
PC5,0.696165191740413,0.582995951417004,0.3986238759861008,DNN (Tuned),,
PC5,0.7463126843657817,0.2586206896551724,0.2195010357336424,Naive Bayes,,
PC5,0.7551622418879056,0.546448087431694,0.3787887875221604,RF (Tuned),,
