Dataset,Model,Acc,F1,MCC,Best Model (MCC),Best Model (F1),Cplx,Formula
CM1,Naive Bayes,0.8636363636363636,0.4,0.3243801933078992,Naive Bayes,Naive Bayes,,
CM1,GP (Ours),0.3484848484848485,0.2711864406779661,0.2014148736276902,Naive Bayes,Naive Bayes,1.0,x4
JM1,GP (Ours),0.7046632124352331,0.4213197969543147,0.2389853262697463,GP (Ours),GP (Ours),3.0,(-5.895 add x0)
JM1,Naive Bayes,0.7959844559585493,0.2482100238663484,0.2087328270847313,GP (Ours),GP (Ours),,
KC1,Naive Bayes,0.7424892703862661,0.4,0.2492864562298274,Naive Bayes,GP (Ours),,
KC1,GP (Ours),0.6523605150214592,0.4635761589403973,0.2363094220267741,Naive Bayes,GP (Ours),3.0,(x1 add -5.906)
KC3,GP (Ours),0.8717948717948718,0.4444444444444444,0.49709581280096,GP (Ours),Naive Bayes,1.0,x3
KC3,Naive Bayes,0.8205128205128205,0.4615384615384615,0.3561268014363686,GP (Ours),Naive Bayes,,
MC1,GP (Ours),0.8593350383631714,0.0983606557377049,0.113668640589725,GP (Ours),GP (Ours),11.0,(sqrt(((x32 sub sin(x23)) sub exp(x3))) sub sqrt(x22))
MC1,Naive Bayes,0.9539641943734016,0.0,-0.0229714258048727,GP (Ours),GP (Ours),,
MC2,Naive Bayes,0.6,0.2857142857142857,0.0416666666666666,Naive Bayes,GP (Ours),,
MC2,GP (Ours),0.52,0.4,0.0067151913668781,Naive Bayes,GP (Ours),1.0,x14
MW1,Naive Bayes,0.78,0.4210526315789473,0.3860440160957241,Naive Bayes,Naive Bayes,,
MW1,GP (Ours),0.78,0.3529411764705882,0.2809757434745082,Naive Bayes,Naive Bayes,10.0,(log((x27 add x10)) add ((3.340 mul -4.031) add x4))
PC1,GP (Ours),0.7794117647058824,0.3478260869565217,0.3188667731678459,GP (Ours),GP (Ours),5.0,((x3 mul x4) sub x9)
PC1,Naive Bayes,0.8676470588235294,0.1818181818181818,0.1098181818181818,GP (Ours),GP (Ours),,
PC2,GP (Ours),0.5724137931034483,0.088235294117647,0.1612518739340329,GP (Ours),GP (Ours),2.0,log(x3)
PC2,Naive Bayes,0.8896551724137931,0.0,-0.0456143158784627,GP (Ours),GP (Ours),,
PC3,GP (Ours),0.6113744075829384,0.3387096774193548,0.2580034552820259,GP (Ours),GP (Ours),1.0,x3
PC3,Naive Bayes,0.1611374407582938,0.2202643171806167,0.0157588859742196,GP (Ours),GP (Ours),,
PC4,GP (Ours),0.7795275590551181,0.5087719298245614,0.4469547773648112,GP (Ours),GP (Ours),3.0,(x3 mul x8)
PC4,Naive Bayes,0.8307086614173228,0.1886792452830188,0.1121583574216193,GP (Ours),GP (Ours),,
PC5,GP (Ours),0.6017699115044248,0.5392491467576792,0.3301582678804198,GP (Ours),GP (Ours),3.0,(x5 mul x2)
PC5,Naive Bayes,0.7463126843657817,0.2586206896551724,0.2195010357336424,GP (Ours),GP (Ours),,
