Dataset,Acc,F1,MCC,Cplx,W_Cplx,Model,Strategy,Target,Train_F1,Train_MCC,Formula,Best Model (MCC),Best Model (F1)
CM1,0.8636363636363636,0.4705882352941176,0.3935351743546255,23.513761467889907,23.513761467889907,RF (Tuned),-,,,,,RF (Tuned),RF (Tuned)
CM1,0.8333333333333334,0.4210526315789473,0.3321819194149599,0.0,0.0,DNN (Tuned),-,,,,,RF (Tuned),RF (Tuned)
CM1,0.6666666666666666,0.3529411764705882,0.2706338958266162,3.0,3.0,GP (Ours),WEIGHTED,MCC,0.3625,0.2867020709183542,(-9.833 add x4),RF (Tuned),RF (Tuned)
JM1,0.6813471502590673,0.4383561643835616,0.2541363337836157,0.0,0.0,DNN (Tuned),-,,,,,DNN (Tuned),DNN (Tuned)
JM1,0.7027202072538861,0.4326328800988875,0.2519381416490011,189.2201834862385,189.2201834862385,RF (Tuned),-,,,,,DNN (Tuned),DNN (Tuned)
JM1,0.7046632124352331,0.4213197969543147,0.2389853262697463,3.0,3.0,GP (Ours),SIMPLE,MCC,0.4241085515935626,0.2419993584024327,(-5.895 add x0),DNN (Tuned),DNN (Tuned)
KC1,0.7682403433476395,0.5423728813559322,0.3872004675628288,79.94495412844037,79.94495412844037,RF (Tuned),-,,,,,RF (Tuned),RF (Tuned)
KC1,0.7510729613733905,0.5245901639344263,0.3565825609922895,0.0,0.0,DNN (Tuned),-,,,,,RF (Tuned),RF (Tuned)
KC1,0.703862660944206,0.4566929133858268,0.2557674598800755,3.0,3.0,GP (Ours),WEIGHTED,MCC,0.4712871287128712,0.2764979221505259,(x16 sub x8),RF (Tuned),RF (Tuned)
KC3,0.8461538461538461,0.6666666666666666,0.5977234369255506,0.0,0.0,DNN (Tuned),-,,,,,DNN (Tuned),DNN (Tuned)
KC3,0.8717948717948718,0.4444444444444444,0.49709581280096,1.0,1.0,GP (Ours),SIMPLE,MCC,0.490566037735849,0.3891519897487005,x3,DNN (Tuned),DNN (Tuned)
KC3,0.7948717948717948,0.3333333333333333,0.2203535165793992,17.394495412844037,17.394495412844037,RF (Tuned),-,,,,,DNN (Tuned),DNN (Tuned)
MC1,0.8593350383631714,0.0983606557377049,0.113668640589725,11.0,20.0,GP (Ours),SIMPLE,MCC,0.1511111111111111,0.1912695342160369,(sqrt(((x32 sub sin(x23)) sub exp(x3))) sub sqrt(x22)),GP (Ours),GP (Ours)
MC1,0.8312020460358056,0.0571428571428571,0.0457543668782134,0.0,0.0,DNN (Tuned),-,,,,,GP (Ours),GP (Ours)
