Dataset,Acc,F1,MCC,Cplx,W_Cplx,Best_CV_Score,Model,Strategy,Target,Train_F1,Train_MCC,Formula
CM1,0.8333333333333334,0.4210526315789473,0.3321819194149599,0.0,0.0,0.3637859651609782,DNN (Tuned),-,,,,
JM1,0.6308290155440415,0.4356435643564356,0.2454240001775239,0.0,0.0,0.2487666737912558,DNN (Tuned),-,,,,
KC1,0.6652360515021459,0.4657534246575342,0.2442372099259885,0.0,0.0,0.270634682615162,DNN (Tuned),-,,,,
KC3,0.8205128205128205,0.5882352941176471,0.4904412660737066,0.0,0.0,0.3780786639219556,DNN (Tuned),-,,,,
MC1,0.8414322250639387,0.0606060606060606,0.0508530126108123,0.0,0.0,0.1598355249154727,DNN (Tuned),-,,,,
MC2,0.6,0.5833333333333334,0.2721655269759087,0.0,0.0,0.4513816448749226,DNN (Tuned),-,,,,
MW1,0.84,0.4285714285714285,0.3644054444067475,0.0,0.0,0.3217639451295133,DNN (Tuned),-,,,,
PC1,0.8455882352941176,0.3225806451612903,0.257550555039693,0.0,0.0,0.3771430542897185,DNN (Tuned),-,,,,
PC2,0.7793103448275862,0.0588235294117647,0.0423804214775064,0.0,0.0,0.1807176894537347,DNN (Tuned),-,,,,
PC3,0.6587677725118484,0.3793103448275862,0.318067167411075,0.0,0.0,0.3880535973031397,DNN (Tuned),-,,,,
PC4,0.8228346456692913,0.5714285714285714,0.5203272034031762,0.0,0.0,0.5332348371579654,DNN (Tuned),-,,,,
PC5,0.7109144542772862,0.6016260162601627,0.4290960088487,0.0,0.0,0.386375631975466,DNN (Tuned),-,,,,
CM1,0.7727272727272727,0.4,0.3120471633126526,10.311111111111112,10.311111111111112,0.2664548810217909,RF (Tuned),-,,,,
JM1,0.7551813471502591,0.4568965517241379,0.3014074163151324,405.5070422535212,405.5070422535212,0.2798751736244899,RF (Tuned),-,,,,
KC1,0.776824034334764,0.4901960784313725,0.3590212466733135,166.37254901960785,166.37254901960785,0.3152673120779416,RF (Tuned),-,,,,
KC3,0.7435897435897436,0.0,-0.1350154312168304,23.37984496124031,23.37984496124031,0.3489226661309302,RF (Tuned),-,,,,
MC1,0.9718670076726342,0.1538461538461538,0.1400569952378997,32.84390243902439,32.84390243902439,0.3051695383857746,RF (Tuned),-,,,,
MC2,0.64,0.4,0.1639025170267964,17.03174603174603,17.03174603174603,0.3646323724252651,RF (Tuned),-,,,,
MW1,0.84,0.5,0.4667110645990919,14.117117117117116,14.117117117117116,0.4324534399101568,RF (Tuned),-,,,,
PC1,0.8602941176470589,0.24,0.1657442360959217,32.704918032786885,32.704918032786885,0.4186960521352351,RF (Tuned),-,,,,
PC2,0.8344827586206897,0.0,-0.0598157097063074,9.8,9.8,0.2075038619578385,RF (Tuned),-,,,,
PC3,0.7203791469194313,0.4380952380952381,0.395211750872581,13.428571428571429,13.428571428571429,0.3676695798862686,RF (Tuned),-,,,,
PC4,0.8700787401574803,0.5352112676056338,0.4597754329908371,78.02877697841727,78.02877697841727,0.6061810383157378,RF (Tuned),-,,,,
PC5,0.7374631268436578,0.5435897435897435,0.3612782667828925,117.41772151898734,117.41772151898734,0.3846486817369081,RF (Tuned),-,,,,
CM1,0.5757575757575758,0.3636363636363636,0.3390317518104052,4.0,7.0,,GP (Ours),WEIGHTED,MCC,0.3548387096774194,0.3046504305161167,(sqrt(x20) mul x4)
JM1,0.7331606217616581,0.4245810055865922,0.2553517024058813,7.0,8.0,,GP (Ours),WEIGHTED,MCC,0.4229565217391304,0.2525498746071882,((x11 add x0) mul (x0 min x11))
KC1,0.6781115879828327,0.5098039215686274,0.3057412028632266,5.0,7.0,,GP (Ours),WEIGHTED,MCC,0.5078809106830122,0.3092397176409979,((-8.857 add x16) div x20)
KC3,0.8717948717948718,0.4444444444444444,0.49709581280096,1.0,1.0,,GP (Ours),SIMPLE,MCC,0.490566037735849,0.3891519897487005,x3
MC1,0.9846547314578004,0.25,0.3750457847507963,10.0,15.0,,GP (Ours),WEIGHTED,MCC,0.1875,0.3189387475053211,(log(x2) div ((x12 sub -2.027) min (-4.562 max 7.093)))
MC2,0.68,0.5,0.2746851652988806,14.0,22.0,,GP (Ours),WEIGHTED,MCC,0.7222222222222222,0.564221756379883,log((((x4 sub x13) min sqrt(x28)) sub (log(x14) sub (x16 max x13))))
MW1,0.84,0.5,0.4667110645990919,3.0,9.0,,GP (Ours),SIMPLE,MCC,0.5128205128205128,0.4604131045160631,log(log(x12))
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,4.0,7.0,,GP (Ours),SIMPLE,MCC,0.3548387096774194,0.3596839649373817,log((x3 sub x20))
PC2,0.7793103448275862,0.1111111111111111,0.152216799558529,6.0,14.0,,GP (Ours),WEIGHTED,MCC,0.2244897959183673,0.2993600028045838,log((sqrt(x3) min log(x2)))
PC3,0.7677725118483413,0.4615384615384615,0.4056984898740706,4.0,7.0,,GP (Ours),SIMPLE,MCC,0.4336043360433604,0.3673900396842476,log((x3 max x0))
PC4,0.7874015748031497,0.5178571428571429,0.4570058842434421,6.0,9.0,,GP (Ours),WEIGHTED,MCC,0.5258620689655172,0.4718288080923336,((x3 mul x9) sub sqrt(x13))
PC5,0.6076696165191741,0.5460750853242321,0.3436609404357899,4.0,7.0,,GP (Ours),SIMPLE,MCC,0.5421686746987951,0.337600367796258,log((x21 add x9))
