Dataset,Train_F1,Test_Acc,Test_F1,Complexity,Formula
CM1,0.38926174496644295,0.6060606060606061,0.3157894736842105,3,(x4 sub x3)
CM1,0.42276422764227645,0.7424242424242424,0.37037037037037035,5,((x4 mul 1.842) sub x3)
JM1,0.4280467445742905,0.7221502590673575,0.4272363150867824,3,(x0 add x4)
JM1,0.4280467445742905,0.7221502590673575,0.4272363150867824,3,(x4 add x0)
JM1,0.42880960320106704,0.7202072538860104,0.424,5,((x0 add x1) add x0)
KC1,0.4974271012006861,0.6566523605150214,0.4594594594594595,3,(x16 sub x2)
KC3,0.6,0.8974358974358975,0.6,4,(cos(x34) div x3)
MC1,0.17142857142857143,0.9820971867007673,0.0,3,(x2 sub 5.715)
MC2,0.696969696969697,0.44,0.2222222222222222,3,(x38 add x6)
MC2,0.696969696969697,0.44,0.2222222222222222,3,(x6 add x38)
MW1,0.5365853658536586,0.86,0.5333333333333333,4,log((x8 mul x34))
MW1,0.5365853658536586,0.86,0.5333333333333333,4,log((x34 mul x8))
PC1,0.4266666666666667,0.8823529411764706,0.2,4,log((x4 mul x24))
PC1,0.4266666666666667,0.8823529411764706,0.2,4,log((x24 mul x4))
PC1,0.5,0.9117647058823529,0.3333333333333333,6,log((x17 mul (x3 mul x4)))
PC2,0.14285714285714285,0.9724137931034482,0.0,3,(x14 add -9.350)
PC2,0.14285714285714285,0.9724137931034482,0.0,3,(x14 add -7.981)
PC3,0.41968911917098445,0.7488151658767772,0.4421052631578947,1,x0
PC3,0.41968911917098445,0.7488151658767772,0.4421052631578947,3,(8.065 mul x0)
PC3,0.42744063324538256,0.7582938388625592,0.45161290322580644,16,((exp((((x17 add x5) sub exp(x15)) sub x0)) mul exp((x0 mul x0))) mul x0)
PC3,0.432,0.7582938388625592,0.45161290322580644,21,((exp((((x17 add x5) sub exp(x15)) sub (cos(x0) add (x31 mul x30)))) mul exp((x0 mul x0))) mul x0)
PC4,0.5557894736842105,0.7795275590551181,0.5,3,(x3 sub x13)
PC5,0.5351239669421488,0.6755162241887905,0.5378151260504201,1,x34
PC5,0.536734693877551,0.6696165191740413,0.5333333333333333,9,((x34 add (x22 add sin(6.565))) add sin(x34))
