Dataset,Train_F1,Test_Acc,Test_F1,Complexity,Formula
CM1,0.3916083916083916,0.696969696969697,0.4117647058823529,3,(x13 sub x12)
CM1,0.41025641025641024,0.7121212121212122,0.3870967741935484,5,(x14 add (x13 sub x5))
JM1,0.42644199611147116,0.7137305699481865,0.4106666666666667,3,(x13 add x18)
JM1,0.42644199611147116,0.7137305699481865,0.4106666666666667,3,(x18 add x13)
JM1,0.435873890419345,0.6800518134715026,0.3975609756097561,9,((x19 add (x18 sub x2)) add (x13 add x17))
KC1,0.4805414551607445,0.6437768240343348,0.49079754601226994,3,(x16 sub x12)
KC1,0.4873294346978557,0.721030042918455,0.5112781954887218,5,(x16 add (-0.811 mul x8))
KC3,0.5454545454545454,0.8974358974358975,0.7142857142857143,4,(log(x4) add x12)
KC3,0.5660377358490566,0.8974358974358975,0.6666666666666666,8,(log(x4) add (sin(sin(x12)) add x12))
KC3,0.6,0.8974358974358975,0.7142857142857143,18,((log(x4) add x12) sub ((sin(x16) div log(x0)) mul ((x5 mul x18) mul (-0.330 mul x4))))
MC1,0.1782178217821782,0.9565217391304348,0.2608695652173913,4,log((x13 mul x12))
MC1,0.2222222222222222,0.959079283887468,0.2,8,(x10 add ((x12 add -2.775) div exp(x19)))
MC1,0.25,0.9744245524296675,0.16666666666666666,18,(sin(((x12 mul x2) div log(x19))) add (log((x13 div 8.195)) div exp((x13 add log(x12)))))
MC2,0.5806451612903226,0.68,0.6923076923076923,3,(0.490 add x13)
MC2,0.5806451612903226,0.68,0.6923076923076923,3,(x13 add 0.490)
MC2,0.6111111111111112,0.72,0.6956521739130435,7,((x19 add x13) sub (0.414 mul x4))
MW1,0.5128205128205128,0.82,0.3076923076923077,3,(x18 sub 1.527)
MW1,0.6,0.84,0.3333333333333333,9,(((x14 sub x10) sub cos(x18)) sub cos(x17))
PC1,0.39436619718309857,0.8970588235294118,0.3,4,log((x16 mul x12))
PC1,0.4044943820224719,0.9117647058823529,0.5384615384615384,8,log(((x7 mul x13) add (x16 mul x12)))
PC1,0.4383561643835616,0.9338235294117647,0.6086956521739131,11,(((x8 mul x19) mul log(x13)) sub cos((x12 sub x6)))
PC1,0.4657534246575342,0.9264705882352942,0.5,18,(((x8 mul x19) mul log(x13)) sub cos(((x16 mul x8) sub (sin(x16) add (x16 mul x12)))))
PC2,0.25396825396825395,0.8758620689655172,0.0,4,(log(x4) add x4)
PC2,0.42105263157894735,0.9793103448275862,0.0,14,log(((cos(log(x3)) mul sin(x4)) div ((-0.084 div x14) sub sin(x12))))
PC2,0.46153846153846156,0.9586206896551724,0.0,18,(log((((x9 mul x4) mul x13) div ((-0.084 div x14) sub sin(x12)))) add log(cos(log(x3))))
PC3,0.41530054644808745,0.7061611374407583,0.3541666666666667,3,(x18 add x13)
PC3,0.41530054644808745,0.7061611374407583,0.3541666666666667,3,(x13 add x18)
PC3,0.42105263157894735,0.7109004739336493,0.3711340206185567,5,((x18 add x13) add x6)
PC4,0.5572354211663066,0.7598425196850394,0.5040650406504065,3,(x12 sub x3)
PC5,0.5181818181818182,0.7286135693215339,0.5700934579439252,1,x19
PC5,0.5181818181818182,0.7286135693215339,0.5700934579439252,3,(x19 add x19)
PC5,0.5181818181818182,0.7286135693215339,0.5700934579439252,3,(4.716 mul x19)
PC5,0.5181818181818182,0.7286135693215339,0.5700934579439252,3,(x19 mul 8.793)
PC5,0.5230769230769231,0.7197640117994101,0.5887445887445888,11,(exp(exp((-9.913 mul 1.065))) sub log(exp((x19 mul -7.432))))
