Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula
CM1,F1,0.35772357723577236,0.24987232148393665,0.7121212121212122,0.3870967741935484,0.31295271590421986,1,x13
CM1,F1,0.375,0.2654147130808203,0.7727272727272727,0.4,0.3120471633126526,4,(cos(-4.461) add x13)
CM1,F1,0.39285714285714285,0.29439690917095307,0.7424242424242424,0.41379310344827586,0.3443181787390561,5,log((cos(x6) add x13))
CM1,MCC,0.35772357723577236,0.24987232148393665,0.7121212121212122,0.3870967741935484,0.31295271590421986,1,x13
CM1,MCC,0.3333333333333333,0.2513435814463151,0.8484848484848485,0.375,0.28879310344827586,2,log(x13)
CM1,MCC,0.4057971014492754,0.31535525664331576,0.803030303030303,0.3157894736842105,0.20761369963434992,4,(x13 sub sqrt(x9))
JM1,F1,0.41918728994805987,0.23188300481702243,0.6904145077720207,0.4084158415841584,0.21846788782149149,1,x18
JM1,F1,0.42457487657707077,0.23115530711759527,0.6560880829015544,0.41065482796892344,0.21156993404369676,3,(x18 add x19)
JM1,F1,0.4280155642023346,0.23379624889158562,0.6418393782383419,0.4148148148148148,0.21470365019373314,13,(x14 add sqrt(((x18 add (x13 sub x18)) mul exp((6.630 div -2.842)))))
JM1,F1,0.4322946175637394,0.2445058158736984,0.658678756476684,0.40451977401129946,0.20397766101610806,15,(x14 add sqrt((((x8 sub x18) add (x18 sub x18)) mul exp((6.630 div -2.842)))))
JM1,MCC,0.4185891006352391,0.2413717271168161,0.7150259067357513,0.41798941798941797,0.23933956494632008,1,x15
JM1,MCC,0.4180522565320665,0.24263412834511255,0.7143782383419689,0.4064602960969044,0.22624305167886843,7,(sin(sin(x15)) add log(exp(x17)))
KC1,F1,0.47058823529411764,0.24871866699481276,0.703862660944206,0.5035971223021583,0.3064329079562678,1,x5
KC1,F1,0.4825291181364393,0.265629291366644,0.648068669527897,0.4875,0.26737356205331725,3,(0.160 add x16)
KC1,MCC,0.43400447427293065,0.2559106908123311,0.7467811158798283,0.4485981308411215,0.28906929895522393,1,x6
KC1,MCC,0.43400447427293065,0.2559106908123311,0.7467811158798283,0.4485981308411215,0.28906929895522393,1,x10
KC1,MCC,0.3710144927536232,0.277245728176367,0.7725321888412017,0.3614457831325301,0.2897177444796282,2,log(x16)
