Dataset,Target,Strategy,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Weighted_Cplx,Formula
CM1,F1,SIMPLE,0.2773109243697479,0.17702237533693568,0.3484848484848485,0.2711864406779661,0.2014148736276902,1,1,x4
CM1,F1,SIMPLE,0.30985915492957744,0.23742115484779577,0.3939393939393939,0.2,-0.008773280079294956,2,5,log(x2)
CM1,F1,SIMPLE,0.32989690721649484,0.26074639054917265,0.4696969696969697,0.2222222222222222,0.0481859100722599,4,8,(log(x2) mul x4)
CM1,F1,SIMPLE,0.3404255319148936,0.2763075885612669,0.5,0.23255813953488372,0.07046868137564956,5,12,(log(x4) mul log(x2))
CM1,F1,SIMPLE,0.3424657534246575,0.23940604148259337,0.5909090909090909,0.2702702702702703,0.13888879962004322,7,13,(cos(log((x21 sub x20))) mul x4)
CM1,F1,SIMPLE,0.34965034965034963,0.24929160047167867,0.6060606060606061,0.2777777777777778,0.15086068001879227,10,20,(log(x4) mul (cos(log((x21 sub x20))) mul x9))
CM1,F1,WEIGHTED,0.2773109243697479,0.17702237533693568,0.3484848484848485,0.2711864406779661,0.2014148736276902,1,1,x4
CM1,F1,WEIGHTED,0.3188405797101449,0.25194452513369553,0.4696969696969697,0.3137254901960784,0.2716193383319644,3,3,(x4 add -3.245)
CM1,F1,WEIGHTED,0.3251231527093596,0.26172067990472303,0.4393939393939394,0.24489795918367346,0.09860251439617607,8,16,(sqrt((x13 sub x2)) mul sqrt(log(x4)))
CM1,MCC,SIMPLE,0.2773109243697479,0.17702237533693568,0.3484848484848485,0.2711864406779661,0.2014148736276902,1,1,x4
CM1,MCC,SIMPLE,0.30985915492957744,0.23742115484779577,0.3939393939393939,0.2,-0.008773280079294956,2,5,log(x2)
CM1,MCC,WEIGHTED,0.2773109243697479,0.17702237533693568,0.3484848484848485,0.2711864406779661,0.2014148736276902,1,1,x4
CM1,MCC,WEIGHTED,0.3625,0.2867020709183542,0.6666666666666666,0.35294117647058826,0.27063389582661623,3,3,(-9.833 add x4)
JM1,F1,SIMPLE,0.37898969590349335,0.15452000996032225,0.5874352331606217,0.3661691542288557,0.13340022832869458,1,1,x3
JM1,F1,SIMPLE,0.39291794347974124,0.17896234976598854,0.43588082901554404,0.39972432804962094,0.1961512103003902,2,5,log(x0)
JM1,F1,SIMPLE,0.4013503375843961,0.23699552549780425,0.7448186528497409,0.39939024390243905,0.23751655826544102,3,3,(x0 sub 7.106)
JM1,F1,SIMPLE,0.4132601179581045,0.20907340650373005,0.5382124352331606,0.42173560421735606,0.22693060790750352,8,19,cos(exp((log(-9.620) div (x0 mul x5))))
JM1,F1,WEIGHTED,0.37898969590349335,0.15452000996032225,0.5874352331606217,0.3661691542288557,0.13340022832869458,1,1,x3
JM1,F1,WEIGHTED,0.4013503375843961,0.23699552549780425,0.7448186528497409,0.39939024390243905,0.23751655826544102,3,3,(x0 sub 7.106)
JM1,F1,WEIGHTED,0.4122751322751323,0.20565573266302378,0.5531088082901554,0.413265306122449,0.20809806348252488,8,19,cos(exp((log(x20) div (x0 mul x5))))
JM1,MCC,SIMPLE,0.37898969590349335,0.15452000996032225,0.5874352331606217,0.3661691542288557,0.13340022832869458,1,1,x3
JM1,MCC,SIMPLE,0.39291794347974124,0.17896234976598854,0.43588082901554404,0.39972432804962094,0.1961512103003902,2,5,log(x0)
JM1,MCC,SIMPLE,0.42410855159356264,0.24199935840243278,0.7046632124352331,0.4213197969543147,0.23898532626974633,3,3,(-5.895 add x0)
JM1,MCC,WEIGHTED,0.37898969590349335,0.15452000996032225,0.5874352331606217,0.3661691542288557,0.13340022832869458,1,1,x3
JM1,MCC,WEIGHTED,0.40990858153936893,0.21536062134606215,0.6690414507772021,0.399529964747356,0.2004625445419485,3,8,cos(log(x11))
JM1,MCC,WEIGHTED,0.351891202719932,0.20256288680665083,0.7435233160621761,0.3465346534653465,0.1883386272032539,3,3,(-9.620 add x4)
JM1,MCC,WEIGHTED,0.37947122861586313,0.21628470748578585,0.7422279792746114,0.3932926829268293,0.22977287048382353,5,10,cos(log((-1.259 sub x17)))
JM1,MCC,WEIGHTED,0.39984411535463754,0.24248810994456252,0.7422279792746114,0.38580246913580246,0.22270237665193615,7,11,((x17 div 3.002) sub (x15 div x18))
KC1,F1,SIMPLE,0.44807467911318555,0.1824529331651748,0.5107296137339056,0.4672897196261682,0.22485054771724367,1,1,x0
KC1,F1,SIMPLE,0.47374847374847373,0.23713594920061862,0.5064377682403434,0.46511627906976744,0.220266352914394,3,3,(x18 sub 7.106)
KC1,F1,WEIGHTED,0.44807467911318555,0.1824529331651748,0.5107296137339056,0.4672897196261682,0.22485054771724367,1,1,x0
KC1,F1,WEIGHTED,0.47128712871287126,0.2764979221505259,0.703862660944206,0.4566929133858268,0.25576745988007554,3,3,(x16 sub x8)
KC1,F1,WEIGHTED,0.4767277856135402,0.2431985932680164,0.5836909871244635,0.46408839779005523,0.21949378988515003,8,14,log(((6.155 mul x11) div (0.318 sub x2)))
KC1,MCC,SIMPLE,0.44807467911318555,0.1824529331651748,0.5107296137339056,0.4672897196261682,0.22485054771724367,1,1,x0
KC1,MCC,SIMPLE,0.4434782608695652,0.18775095626391428,0.6094420600858369,0.4678362573099415,0.22992561602683426,2,5,log(x0)
KC1,MCC,SIMPLE,0.4664310954063604,0.24958380647610845,0.6523605150214592,0.46357615894039733,0.23630942202677416,3,3,(x1 add -5.906)
KC1,MCC,SIMPLE,0.48816029143898,0.28566540284383574,0.6437768240343348,0.42758620689655175,0.1886374393726213,15,37,log(((sin(log(x7)) div sin(exp(sin(x4)))) sub (x5 mul sin(sqrt(x9)))))
KC1,MCC,WEIGHTED,0.44807467911318555,0.1824529331651748,0.5107296137339056,0.4672897196261682,0.22485054771724367,1,1,x0
KC1,MCC,WEIGHTED,0.47128712871287126,0.2764979221505259,0.703862660944206,0.4566929133858268,0.25576745988007554,3,3,(x16 sub x8)
KC3,F1,SIMPLE,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3
KC3,F1,WEIGHTED,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3
KC3,MCC,SIMPLE,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3
KC3,MCC,SIMPLE,0.41025641025641024,0.41271982684915615,0.8461538461538461,0.25,0.346843987809648,10,19,sin(log((sin((x28 sub x4)) mul (x30 mul x3))))
KC3,MCC,WEIGHTED,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,1,x3
MC1,F1,SIMPLE,0.08652246256239601,0.15137372815084535,0.659846547314578,0.06993006993006994,0.10388354381038016,1,1,x3
MC1,F1,SIMPLE,0.1038961038961039,0.08541857615794216,0.9565217391304348,0.0,-0.021873632940660477,2,5,log(x21)
MC1,F1,SIMPLE,0.10451306413301663,0.16101188931142002,0.7749360613810742,0.08333333333333333,0.11070736561173444,3,4,(x3 mul x4)
MC1,F1,SIMPLE,0.15384615384615385,0.1673026516964849,0.9258312020460358,0.12121212121212122,0.11879646345341298,4,8,log((x3 mul -0.139))
MC1,F1,WEIGHTED,0.08652246256239601,0.15137372815084535,0.659846547314578,0.06993006993006994,0.10388354381038016,1,1,x3
MC1,F1,WEIGHTED,0.15384615384615385,0.1673026516964849,0.9258312020460358,0.12121212121212122,0.11879646345341298,3,3,(x3 sub 7.795)
MC1,MCC,SIMPLE,0.08652246256239601,0.15137372815084535,0.659846547314578,0.06993006993006994,0.10388354381038016,1,1,x3
MC1,MCC,SIMPLE,0.11830985915492957,0.1744167657205004,0.7749360613810742,0.06382978723404255,0.06689105623474753,4,7,(x3 sub log(9.624))
MC1,MCC,SIMPLE,0.14285714285714285,0.18274910151226453,0.8465473145780051,0.09090909090909091,0.10473791215235059,8,15,(sqrt((x3 sub exp(x3))) sub sqrt(x22))
MC1,MCC,SIMPLE,0.1511111111111111,0.19126953421603696,0.8593350383631714,0.09836065573770492,0.11366864058972502,11,20,(sqrt(((x32 sub sin(x23)) sub exp(x3))) sub sqrt(x22))
MC1,MCC,WEIGHTED,0.08652246256239601,0.15137372815084535,0.659846547314578,0.06993006993006994,0.10388354381038016,1,1,x3
MC1,MCC,WEIGHTED,0.15,0.19537609970254124,0.8491048593350383,0.06349206349206349,0.054920383074071336,3,3,(x3 sub x0)
MC2,F1,SIMPLE,0.62,0.35686204215344747,0.48,0.48,0.041666666666666664,1,1,x2
MC2,F1,SIMPLE,0.6336633663366337,0.3884492980336779,0.44,0.5625,0.2211629342323457,3,3,(x16 add x14)
MC2,F1,SIMPLE,0.6904761904761905,0.493458668710914,0.56,0.47619047619047616,0.11342410894527007,5,12,log(sqrt((x4 div x2)))
MC2,F1,WEIGHTED,0.62,0.35686204215344747,0.48,0.48,0.041666666666666664,1,1,x2
MC2,F1,WEIGHTED,0.6336633663366337,0.3884492980336779,0.44,0.5625,0.2211629342323457,3,3,(x16 add x14)
MC2,F1,WEIGHTED,0.6590909090909091,0.4347632715727996,0.52,0.45454545454545453,0.05337605126836238,3,4,(x2 mul x4)
MC2,MCC,SIMPLE,0.6111111111111112,0.3895291719182461,0.52,0.4,0.006715191366878169,1,1,x14
MC2,MCC,SIMPLE,0.6229508196721312,0.47091997977586375,0.56,0.26666666666666666,-0.031219527052723135,3,3,(x28 sub 7.732)
MC2,MCC,SIMPLE,0.6451612903225806,0.4959846207773171,0.52,0.25,-0.09651100402393104,5,12,log(sqrt((x6 div -8.321)))
MC2,MCC,WEIGHTED,0.6111111111111112,0.3895291719182461,0.52,0.4,0.006715191366878169,1,1,x14
MC2,MCC,WEIGHTED,0.5970149253731343,0.39242986553056985,0.56,0.35294117647058826,0.021437323142813606,3,3,(x28 sub 6.815)
MC2,MCC,WEIGHTED,0.5454545454545454,0.4172699445207642,0.56,0.26666666666666666,-0.031219527052723135,5,9,(sqrt(x17) sub sqrt(8.169))
MC2,MCC,WEIGHTED,0.6229508196721312,0.47091997977586375,0.52,0.25,-0.09651100402393104,5,12,log(sqrt((x6 div -9.242)))
MC2,MCC,WEIGHTED,0.4897959183673469,0.427521472962397,0.64,0.3076923076923077,0.1272937693043289,7,11,cos(((-4.313 add -1.944) add sqrt(x1)))
MW1,F1,SIMPLE,0.20224719101123595,0.09002191295904333,0.24,0.20833333333333334,0.1344910974643215,1,1,x4
MW1,F1,SIMPLE,0.23529411764705882,0.12454411962617888,0.7,0.2857142857142857,0.2000816826662603,2,4,cos(x27)
MW1,F1,SIMPLE,0.30434782608695654,0.2361111111111111,0.74,0.38095238095238093,0.34299717028501764,3,8,cos(log(x21))
MW1,F1,SIMPLE,0.3235294117647059,0.2419513346586043,0.68,0.3333333333333333,0.2884299752006152,4,8,log((x4 mul x29))
MW1,F1,SIMPLE,0.3389830508474576,0.2566039508361436,0.82,0.4,0.3333333333333333,11,22,cos((log((exp(-6.710) sub (x36 mul x9))) sub sin(x4)))
MW1,F1,SIMPLE,0.41025641025641024,0.34673085648740554,0.82,0.18181818181818182,0.08206099398622183,12,19,((sqrt(x4) div (x30 div x22)) add ((3.340 mul -4.031) add x4))
MW1,F1,SIMPLE,0.4444444444444444,0.3931785497463923,0.82,0.18181818181818182,0.08206099398622183,16,27,(((sqrt(x4) div (x30 div x22)) add ((3.340 mul -4.031) add x4)) sub sin(sin(x4)))
MW1,F1,WEIGHTED,0.20224719101123595,0.09002191295904333,0.24,0.20833333333333334,0.1344910974643215,1,1,x4
MW1,F1,WEIGHTED,0.3728813559322034,0.2986701722846918,0.78,0.35294117647058826,0.2809757434745082,3,3,(-8.135 add x4)
MW1,F1,WEIGHTED,0.3880597014925373,0.32625876904005374,0.76,0.4,0.363696483726654,5,10,cos(log((x21 sub x12)))
MW1,F1,WEIGHTED,0.46153846153846156,0.4035719805017343,0.82,0.3076923076923077,0.21821789023599236,10,17,cos((log(x34) sub sin((-2.592 add (-7.600 sub -7.370)))))
MW1,MCC,SIMPLE,0.20224719101123595,0.09002191295904333,0.24,0.20833333333333334,0.1344910974643215,1,1,x4
MW1,MCC,SIMPLE,0.225,0.14547859349066158,0.28,0.21739130434782608,0.15617376188860607,2,5,log(x4)
