Dataset,Accuracy,F1_Score,MCC
CM1,0.8636363636363636,0.4,0.32438019330789924
JM1,0.7959844559585493,0.24821002386634844,0.20873282708473134
KC1,0.7424892703862661,0.4,0.2492864562298274
KC3,0.8205128205128205,0.46153846153846156,0.3561268014363686
MC1,0.9539641943734015,0.0,-0.022971425804872714
MC2,0.6,0.2857142857142857,0.041666666666666664
MW1,0.78,0.42105263157894735,0.38604401609572414
PC1,0.8676470588235294,0.18181818181818182,0.10981818181818181
PC2,0.8896551724137931,0.0,-0.04561431587846275
PC3,0.16113744075829384,0.22026431718061673,0.015758885974219667
PC4,0.8307086614173228,0.18867924528301888,0.11215835742161934
PC5,0.7463126843657817,0.25862068965517243,0.2195010357336424
