Dataset,Acc,F1,MCC,Cplx,W_Cplx,Best_CV_Score
CM1,0.8333333333333334,0.42105263157894735,0.3321819194149599,0,0,0.3637859651609782
JM1,0.6308290155440415,0.43564356435643564,0.24542400017752397,0,0,0.2487666737912558
KC1,0.6652360515021459,0.4657534246575342,0.24423720992598857,0,0,0.270634682615162
KC3,0.8205128205128205,0.5882352941176471,0.49044126607370664,0,0,0.37807866392195566
MC1,0.8414322250639387,0.06060606060606061,0.05085301261081233,0,0,0.15983552491547276
MC2,0.6,0.5833333333333334,0.2721655269759087,0,0,0.45138164487492266
MW1,0.84,0.42857142857142855,0.3644054444067475,0,0,0.3217639451295133
PC1,0.8455882352941176,0.3225806451612903,0.257550555039693,0,0,0.37714305428971856
PC2,0.7793103448275862,0.058823529411764705,0.04238042147750643,0,0,0.18071768945373476
PC3,0.6587677725118484,0.3793103448275862,0.318067167411075,0,0,0.38805359730313976
PC4,0.8228346456692913,0.5714285714285714,0.5203272034031762,0,0,0.5332348371579654
PC5,0.7109144542772862,0.6016260162601627,0.42909600884870003,0,0,0.386375631975466
