Dataset,Acc,F1,MCC,Cplx,W_Cplx,Best_CV_Score
CM1,0.7575757575757576,0.38461538461538464,0.2937629918868251,10.826086956521738,10.826086956521738,0.27015300389191055
JM1,0.7687823834196891,0.44992295839753466,0.303576935654198,433.29757785467126,433.29757785467126,0.28445103506086344
KC1,0.7811158798283262,0.4742268041237113,0.3573773863444383,196.6439393939394,196.6439393939394,0.31527479348066706
KC3,0.7948717948717948,0.0,-0.07587212233336049,24.141463414634146,24.141463414634146,0.33488550773907716
MC1,0.9718670076726342,0.0,-0.013726440155604508,31.516483516483518,31.516483516483518,0.31048854452119923
MC2,0.6,0.2857142857142857,0.041666666666666664,10.20704845814978,10.20704845814978,0.3872258083835344
MW1,0.84,0.5,0.46671106459909195,14.105990783410139,14.105990783410139,0.43245343991015683
PC1,0.875,0.2608695652173913,0.1929551024312449,30.333333333333332,30.333333333333332,0.3893365396278988
PC2,0.8482758620689655,0.0,-0.05644272632319809,9.872037914691942,9.872037914691942,0.20717658860073979
PC3,0.7061611374407583,0.42592592592592593,0.38146458306124453,13.89655172413793,13.89655172413793,0.3657671489622526
PC4,0.8700787401574803,0.56,0.48567012957131733,86.00769230769231,86.00769230769231,0.5998616014812314
PC5,0.7669616519174042,0.5325443786982249,0.3816249952930004,215.32592592592593,215.32592592592593,0.39517076026717723
