Dataset,Acc,F1,MCC
CM1,0.8787878787878788,0.5,0.43103448275862066
JM1,0.7791450777202072,0.4473257698541329,0.31011868544161236
KC1,0.776824034334764,0.5517241379310345,0.40331776599777136
KC3,0.8205128205128205,0.46153846153846156,0.3561268014363686
MC1,0.9769820971867008,0.0,-0.009681075453511843
MC2,0.56,0.26666666666666666,-0.031219527052723135
MW1,0.84,0.5,0.46671106459909195
PC1,0.875,0.2608695652173913,0.1929551024312449
PC2,0.9310344827586207,0.0,-0.032736024116469496
PC3,0.8767772511848341,0.48,0.4106571682264665
PC4,0.8661417322834646,0.5641025641025641,0.48960725537046584
PC5,0.7551622418879056,0.546448087431694,0.3787887875221604
