Dataset,Accuracy,F1_Score,MCC
CM1,0.8484848484848485,0.0,-0.06565321642986127
JM1,0.8089378238341969,0.2891566265060241,0.27207413698096006
KC1,0.7725321888412017,0.4175824175824176,0.31245613261700445
KC3,0.8205128205128205,0.0,0.0
MC1,0.9820971867007673,0.0,0.0
MC2,0.6,0.2857142857142857,0.041666666666666664
MW1,0.88,0.25,0.1965021149155211
PC1,0.9338235294117647,0.3076923076923077,0.4118331129111585
PC2,0.9793103448275862,0.0,0.0
PC3,0.8815165876777251,0.1935483870967742,0.22598355404682582
PC4,0.8858267716535433,0.4528301886792453,0.4237482941335556
PC5,0.7905604719764012,0.5103448275862069,0.4131065886314589
