Dataset,Accuracy,F1_Score,MCC,Complexity
CM1,0.8484848484848485,0.0,-0.06565321642986127,48.34
JM1,0.8011658031088082,0.39447731755424065,0.3014995159240369,1073.28
KC1,0.759656652360515,0.391304347826087,0.27297977702239296,241.72
KC3,0.7948717948717948,0.0,-0.07587212233336049,36.08
MC1,0.9820971867007673,0.0,0.0,69.62
MC2,0.64,0.4,0.16390251702679645,26.36
MW1,0.86,0.2222222222222222,0.14744195615489714,30.46
PC1,0.9264705882352942,0.2857142857142857,0.3226711255668068,63.74
PC2,0.9793103448275862,0.0,0.0,34.96
PC3,0.8720379146919431,0.22857142857142856,0.20628153638908778,123.42
PC4,0.8858267716535433,0.5245901639344263,0.46789834807823755,126.76
PC5,0.7610619469026548,0.4968944099378882,0.35051523593326506,299.22
