Dataset,Accuracy,F1_Score,MCC,Complexity,Threshold
CM1,0.48484848484848486,0.2916666666666667,0.20441496386903993,48.34,0.05
JM1,0.7733160621761658,0.4462025316455696,0.3038455625703862,1073.28,0.42000000000000004
KC1,0.776824034334764,0.49019607843137253,0.35902124667331353,241.72,0.45000000000000007
KC3,0.5897435897435898,0.42857142857142855,0.29898496083034193,36.08,0.15000000000000002
MC1,0.9718670076726342,0.15384615384615385,0.1400569952378997,69.62,0.26000000000000006
MC2,0.6,0.375,0.0890870806374748,26.36,0.43000000000000005
MW1,0.84,0.5,0.46671106459909195,30.46,0.27
PC1,0.8602941176470589,0.24,0.16574423609592173,63.74,0.31000000000000005
PC2,0.8275862068965517,0.07407407407407407,0.06563262200617521,34.96,0.09000000000000001
PC3,0.8151658767772512,0.5063291139240507,0.44780099798390127,123.42,0.25000000000000006
PC4,0.8582677165354331,0.6170212765957447,0.5644928080293514,126.76,0.28
PC5,0.6784660766961652,0.5622489959839357,0.36441879591793547,299.22,0.28
